gen	avg	best	
0	12919	14067	
1	12920	14524	
2	13144	14297	
3	13265	14503	
4	13434	14776	
5	13718	15195	
6	13773	14944	
7	13890	15133	
8	14078	15013	
9	14234	15505	
10	14376	15370	
11	14587	15544	
12	14761	15937	
13	14915	15906	
14	15029	16023	
15	15050	15891	
16	15196	16150	
17	15531	16550	
18	15648	16616	
19	15653	16454	
20	15760	16802	
21	15915	16717	
22	16018	17400	
23	16181	17065	
24	16296	16884	
25	16462	17097	
26	16491	17157	
27	16539	17540	
28	16622	17431	
29	16802	17569	
30	16777	17753	
31	16938	17759	
32	17064	17930	
33	17178	17786	
34	17145	17786	
35	17165	17794	
36	17223	17893	
37	17343	18173	
38	17448	18152	
39	17550	18110	
40	17629	18103	
41	17726	18304	
42	17737	18360	
43	17818	18439	
44	17886	18392	
45	17823	18384	
46	17889	18461	
47	18022	18511	
48	18080	18618	
49	18138	18670	
50	18150	18655	
51	18220	18735	
52	18276	18736	
53	18320	18804	
54	18297	18737	
55	18336	18754	
56	18357	18771	
57	18408	18761	
58	18467	18827	
59	18470	18777	
60	18502	18918	
61	18549	18857	
62	18554	18895	
63	18579	18827	
64	18638	19006	
65	18698	18990	
66	18734	19071	
67	18809	19104	
68	18801	19038	
69	18802	19129	
70	18851	19154	
71	18886	19146	
72	18887	19203	
73	18939	19204	
74	18976	19214	
75	18990	19261	
76	19030	19244	
77	19034	19295	
78	19047	19290	
79	19082	19292	
80	19102	19316	
81	19136	19315	
82	19148	19333	
83	19155	19339	
84	19167	19344	
85	19165	19373	
86	19179	19316	
87	19185	19344	
88	19210	19387	
89	19240	19378	
90	19241	19389	
91	19250	19385	
92	19280	19399	
93	19277	19398	
94	19281	19405	
95	19290	19380	
96	19304	19398	
97	19306	19415	
98	19309	19421	
99	19329	19419	
