gen	avg	best	
0	11540	13821	
1	11856	14061	
2	12067	14127	
3	11979	14196	
4	12251	14080	
5	11864	13996	
6	11977	14306	
7	11979	13927	
8	12601	13813	
9	12002	13892	
10	12468	13949	
11	12657	14063	
12	12629	14102	
13	12238	14478	
14	12411	14056	
15	12484	13926	
16	12379	13943	
17	12223	14135	
18	12215	13843	
19	12718	14026	
20	12255	14081	
21	12358	14088	
22	12156	13964	
23	12549	13942	
24	12695	13877	
25	12255	13843	
26	12169	14262	
27	12408	13918	
28	12344	13886	
29	12369	13777	
30	12334	14412	
31	12666	14076	
32	12713	14259	
33	12766	14225	
34	12762	14138	
35	12470	14062	
36	12602	14055	
37	12893	13810	
38	12770	14416	
39	12787	14275	
40	12961	14494	
41	12732	14559	
42	12920	14286	
43	12516	14101	
44	12788	14029	
45	12664	14182	
46	12774	14021	
47	12823	14051	
48	12712	14434	
49	12819	14160	
50	12453	14031	
51	12489	14101	
52	12421	14359	
53	12754	14447	
54	12418	13879	
55	12661	14172	
56	12780	14034	
57	12175	14139	
58	12615	14532	
59	12662	14388	
60	12844	14408	
61	12433	14732	
62	12353	14400	
63	12439	14215	
64	13061	14205	
65	12400	14250	
66	12767	14206	
67	12784	14270	
68	13114	14407	
69	12433	14485	
70	12492	14253	
71	12613	14501	
72	11960	14360	
73	12602	14118	
74	12304	14246	
75	12358	14201	
76	12766	14212	
77	12815	14219	
78	12710	14212	
79	13107	14266	
80	12553	14390	
81	12417	14222	
82	12639	14328	
83	12914	14541	
84	12875	14242	
85	12932	14216	
86	12738	14372	
87	12869	14332	
88	12679	14425	
89	12558	13963	
90	12369	14225	
91	12894	14285	
92	12648	14487	
93	12736	14403	
94	12457	14200	
95	13144	14764	
96	12545	14283	
97	12864	14218	
98	12620	14203	
99	12757	14344	
