gen	avg	best	
0	8184	14297	
1	9877	14236	
2	10886	14526	
3	11779	14268	
4	10728	14376	
5	11077	14279	
6	11822	14479	
7	11172	14734	
8	12230	14732	
9	12039	14820	
10	12415	15010	
11	12677	14852	
12	12112	15153	
13	11484	15372	
14	11958	15525	
15	11594	15461	
16	12688	15449	
17	12583	15936	
18	12127	15733	
19	12168	15456	
20	12961	15733	
21	13500	15756	
22	12526	15739	
23	11741	15626	
24	12642	15702	
25	13317	15811	
26	12329	15862	
27	12816	15995	
28	12414	16217	
29	12133	16272	
30	13878	16286	
31	13669	16379	
32	13426	16367	
33	11727	16183	
34	13487	16291	
35	13341	16438	
36	12319	16342	
37	13254	16361	
38	13753	16871	
39	12539	16475	
40	13504	16555	
41	12482	16452	
42	13961	16685	
43	13687	16796	
44	12890	16765	
45	12910	16760	
46	14239	16756	
47	13948	17059	
48	13327	17083	
49	12831	16979	
50	13506	16964	
51	14649	16938	
52	14413	16955	
53	13999	17167	
54	13669	17324	
55	13183	17076	
56	14018	17026	
57	13225	17205	
58	14063	17092	
59	14035	17038	
60	14352	17066	
61	15574	17220	
62	12781	17047	
63	13472	17100	
64	14296	17032	
65	13955	17180	
66	15133	17237	
67	14168	17262	
68	14767	17260	
69	13603	17187	
70	12754	17180	
71	14048	17185	
72	13185	17422	
73	12851	17292	
74	14214	17365	
75	13239	17282	
76	14059	17514	
77	13365	17229	
78	15570	17478	
79	14454	17240	
80	13919	17407	
81	13452	17522	
82	13773	17351	
83	14280	17555	
84	13643	17381	
85	14301	17210	
86	13081	17379	
87	14260	17383	
88	13396	17116	
89	12877	17356	
90	13667	17057	
91	14307	17122	
92	14402	17761	
93	13985	17805	
94	12458	17293	
95	13678	17385	
96	13690	17717	
97	14170	17594	
98	14652	17469	
99	14517	17434	
